"Time","Room.mean"
2025-03-01 07:30:00,18.3 %H
2025-03-01 08:00:00,18.8 %H
2025-03-01 08:30:00,19.5 %H
2025-03-01 09:00:00,19.8 %H
2025-03-01 09:30:00,20.3 %H
2025-03-01 10:00:00,20.6 %H
2025-03-01 10:30:00,20.7 %H
2025-03-01 11:00:00,21.0 %H
2025-03-01 11:30:00,21.2 %H
2025-03-01 12:00:00,22.1 %H
2025-03-01 12:30:00,22.9 %H
2025-03-01 13:00:00,22.9 %H
2025-03-01 13:30:00,22.8 %H
2025-03-01 14:00:00,22.6 %H
2025-03-01 14:30:00,22.8 %H
2025-03-01 15:00:00,23.2 %H
2025-03-01 15:30:00,23.7 %H
2025-03-01 16:00:00,23.3 %H
2025-03-01 16:30:00,22.8 %H
2025-03-01 17:00:00,19.1 %H
2025-03-01 17:30:00,17.7 %H
2025-03-01 18:00:00,16.8 %H
2025-03-01 18:30:00,15.2 %H
2025-03-01 19:00:00,13.1 %H
2025-03-01 19:30:00,11.5 %H
2025-03-01 20:00:00,10.5 %H
2025-03-01 20:30:00,9.92 %H
2025-03-01 21:00:00,9.68 %H
2025-03-01 21:30:00,9.10 %H
2025-03-01 22:00:00,8.58 %H
2025-03-01 22:30:00,8.17 %H
2025-03-01 23:00:00,7.70 %H
2025-03-01 23:30:00,7.47 %H
2025-03-02 00:00:00,7.30 %H
2025-03-02 00:30:00,7.10 %H
2025-03-02 01:00:00,7.05 %H
2025-03-02 01:30:00,6.90 %H
2025-03-02 02:00:00,6.72 %H
2025-03-02 02:30:00,7.11 %H
2025-03-02 03:00:00,7.82 %H
2025-03-02 03:30:00,7.96 %H
2025-03-02 04:00:00,7.94 %H
2025-03-02 04:30:00,7.88 %H
2025-03-02 05:00:00,7.72 %H
2025-03-02 05:30:00,7.55 %H
2025-03-02 06:00:00,7.41 %H
2025-03-02 06:30:00,7.25 %H
2025-03-02 07:00:00,7.15 %H
2025-03-02 07:30:00,7.25 %H
2025-03-02 08:00:00,7.13 %H
2025-03-02 08:30:00,7.19 %H
2025-03-02 09:00:00,7.05 %H
2025-03-02 09:30:00,6.90 %H
2025-03-02 10:00:00,6.75 %H
2025-03-02 10:30:00,6.72 %H
2025-03-02 11:00:00,6.05 %H
2025-03-02 11:30:00,5.30 %H
2025-03-02 12:00:00,5.33 %H
2025-03-02 12:30:00,5.09 %H
2025-03-02 13:00:00,5.08 %H
2025-03-02 13:30:00,4.85 %H
2025-03-02 14:00:00,4.74 %H
2025-03-02 14:30:00,4.69 %H
2025-03-02 15:00:00,4.70 %H
2025-03-02 15:30:00,4.74 %H
2025-03-02 16:00:00,4.94 %H
2025-03-02 16:30:00,4.81 %H
2025-03-02 17:00:00,3.86 %H
2025-03-02 17:30:00,3.73 %H
2025-03-02 18:00:00,3.55 %H
2025-03-02 18:30:00,3.50 %H
2025-03-02 19:00:00,3.58 %H
2025-03-02 19:30:00,3.82 %H
2025-03-02 20:00:00,3.87 %H
2025-03-02 20:30:00,3.85 %H
2025-03-02 21:00:00,3.82 %H
2025-03-02 21:30:00,3.85 %H
2025-03-02 22:00:00,3.91 %H
2025-03-02 22:30:00,3.99 %H
2025-03-02 23:00:00,4.08 %H
2025-03-02 23:30:00,4.06 %H
2025-03-03 00:00:00,4.04 %H
2025-03-03 00:30:00,4.12 %H
2025-03-03 01:00:00,4.13 %H
2025-03-03 01:30:00,4.09 %H
2025-03-03 02:00:00,3.83 %H
2025-03-03 02:30:00,3.67 %H
2025-03-03 03:00:00,3.57 %H
2025-03-03 03:30:00,3.47 %H
2025-03-03 04:00:00,3.44 %H
2025-03-03 04:30:00,3.34 %H
2025-03-03 05:00:00,3.32 %H
2025-03-03 05:30:00,3.27 %H
2025-03-03 06:00:00,3.27 %H
2025-03-03 06:30:00,3.35 %H
2025-03-03 07:00:00,3.38 %H
2025-03-03 07:30:00,3.32 %H
2025-03-03 08:00:00,3.24 %H
2025-03-03 08:30:00,3.28 %H
2025-03-03 09:00:00,3.27 %H
2025-03-03 09:30:00,3.43 %H
2025-03-03 10:00:00,3.75 %H
2025-03-03 10:30:00,4.69 %H
2025-03-03 11:00:00,4.41 %H
2025-03-03 11:30:00,4.33 %H
2025-03-03 12:00:00,4.42 %H
2025-03-03 12:30:00,4.45 %H
2025-03-03 13:00:00,4.49 %H
2025-03-03 13:30:00,4.68 %H
2025-03-03 14:00:00,4.81 %H
2025-03-03 14:30:00,4.87 %H
2025-03-03 15:00:00,5.04 %H
2025-03-03 15:30:00,4.81 %H
2025-03-03 16:00:00,4.55 %H
2025-03-03 16:30:00,4.67 %H
2025-03-03 17:00:00,5.18 %H
2025-03-03 17:30:00,5.08 %H
2025-03-03 18:00:00,5.03 %H
2025-03-03 18:30:00,5.10 %H
2025-03-03 19:00:00,5.12 %H
2025-03-03 19:30:00,5.33 %H
2025-03-03 20:00:00,5.37 %H
2025-03-03 20:30:00,4.85 %H
2025-03-03 21:00:00,4.87 %H
2025-03-03 21:30:00,4.90 %H
2025-03-03 22:00:00,4.93 %H
2025-03-03 22:30:00,4.91 %H
2025-03-03 23:00:00,4.92 %H
2025-03-03 23:30:00,4.96 %H
2025-03-04 00:00:00,5.06 %H
2025-03-04 00:30:00,5.25 %H
2025-03-04 01:00:00,5.49 %H
2025-03-04 01:30:00,5.72 %H
2025-03-04 02:00:00,5.94 %H
2025-03-04 02:30:00,6.10 %H
2025-03-04 03:00:00,6.21 %H
2025-03-04 03:30:00,6.33 %H
2025-03-04 04:00:00,6.88 %H
2025-03-04 04:30:00,7.48 %H
2025-03-04 05:00:00,7.97 %H
2025-03-04 05:30:00,8.42 %H
2025-03-04 06:00:00,8.75 %H
2025-03-04 06:30:00,
2025-03-04 07:00:00,
2025-03-04 07:30:00,
2025-03-04 08:00:00,
2025-03-04 08:30:00,8.64 %H
2025-03-04 09:00:00,8.40 %H
2025-03-04 09:30:00,7.88 %H
2025-03-04 10:00:00,8.14 %H
2025-03-04 10:30:00,8.48 %H
2025-03-04 11:00:00,8.86 %H
2025-03-04 11:30:00,9.09 %H
2025-03-04 12:00:00,9.24 %H
2025-03-04 12:30:00,9.73 %H
2025-03-04 13:00:00,9.84 %H
2025-03-04 13:30:00,10.2 %H
2025-03-04 14:00:00,10.7 %H
2025-03-04 14:30:00,10.9 %H
2025-03-04 15:00:00,11.1 %H
2025-03-04 15:30:00,11.8 %H
2025-03-04 16:00:00,12.8 %H
2025-03-04 16:30:00,13.6 %H
2025-03-04 17:00:00,14.2 %H
2025-03-04 17:30:00,14.5 %H
2025-03-04 18:00:00,15.0 %H
2025-03-04 18:30:00,15.4 %H
2025-03-04 19:00:00,15.8 %H
2025-03-04 19:30:00,15.9 %H
2025-03-04 20:00:00,16.1 %H
2025-03-04 20:30:00,16.2 %H
2025-03-04 21:00:00,16.3 %H
2025-03-04 21:30:00,16.4 %H
2025-03-04 22:00:00,16.4 %H
2025-03-04 22:30:00,16.3 %H
2025-03-04 23:00:00,16.1 %H
2025-03-04 23:30:00,16.1 %H
2025-03-05 00:00:00,16.2 %H
2025-03-05 00:30:00,16.6 %H
2025-03-05 01:00:00,16.8 %H
2025-03-05 01:30:00,16.7 %H
2025-03-05 02:00:00,16.7 %H
2025-03-05 02:30:00,16.9 %H
2025-03-05 03:00:00,17.4 %H
2025-03-05 03:30:00,18.0 %H
2025-03-05 04:00:00,18.6 %H
2025-03-05 04:30:00,19.2 %H
2025-03-05 05:00:00,19.5 %H
2025-03-05 05:30:00,20.0 %H
2025-03-05 06:00:00,20.5 %H
2025-03-05 06:30:00,20.9 %H
2025-03-05 07:00:00,21.2 %H
2025-03-05 07:30:00,21.6 %H
2025-03-05 08:00:00,21.9 %H
2025-03-05 08:30:00,22.8 %H
2025-03-05 09:00:00,23.8 %H
2025-03-05 09:30:00,24.4 %H
2025-03-05 10:00:00,24.7 %H
2025-03-05 10:30:00,25.0 %H
2025-03-05 11:00:00,25.2 %H
2025-03-05 11:30:00,25.3 %H
2025-03-05 12:00:00,24.9 %H
2025-03-05 12:30:00,24.5 %H
2025-03-05 13:00:00,24.5 %H
2025-03-05 13:30:00,24.5 %H
2025-03-05 14:00:00,24.6 %H
2025-03-05 14:30:00,25.0 %H
2025-03-05 15:00:00,25.0 %H
2025-03-05 15:30:00,25.0 %H
2025-03-05 16:00:00,
2025-03-05 16:30:00,
2025-03-05 17:00:00,
2025-03-05 17:30:00,
2025-03-05 18:00:00,
2025-03-05 18:30:00,
2025-03-05 19:00:00,
2025-03-05 19:30:00,
2025-03-05 20:00:00,
2025-03-05 20:30:00,
2025-03-05 21:00:00,
2025-03-05 21:30:00,
2025-03-05 22:00:00,
2025-03-05 22:30:00,
2025-03-05 23:00:00,
2025-03-05 23:30:00,
2025-03-06 00:00:00,
2025-03-06 00:30:00,
2025-03-06 01:00:00,
2025-03-06 01:30:00,
2025-03-06 02:00:00,
2025-03-06 02:30:00,
2025-03-06 03:00:00,
2025-03-06 03:30:00,
2025-03-06 04:00:00,
2025-03-06 04:30:00,
2025-03-06 05:00:00,
2025-03-06 05:30:00,
2025-03-06 06:00:00,
2025-03-06 06:30:00,
2025-03-06 07:00:00,
2025-03-06 07:30:00,
2025-03-06 08:00:00,
2025-03-06 08:30:00,
2025-03-06 09:00:00,
2025-03-06 09:30:00,
2025-03-06 10:00:00,
2025-03-06 10:30:00,31.8 %H
2025-03-06 11:00:00,32.0 %H
2025-03-06 11:30:00,32.0 %H
2025-03-06 12:00:00,32.3 %H
2025-03-06 12:30:00,32.6 %H
2025-03-06 13:00:00,32.3 %H
2025-03-06 13:30:00,31.8 %H
2025-03-06 14:00:00,31.9 %H
2025-03-06 14:30:00,32.5 %H
2025-03-06 15:00:00,32.4 %H
2025-03-06 15:30:00,32.4 %H
2025-03-06 16:00:00,32.4 %H
2025-03-06 16:30:00,32.3 %H
2025-03-06 17:00:00,31.1 %H
2025-03-06 17:30:00,
2025-03-06 18:00:00,
2025-03-06 18:30:00,
2025-03-06 19:00:00,
2025-03-06 19:30:00,
2025-03-06 20:00:00,
2025-03-06 20:30:00,
2025-03-06 21:00:00,
2025-03-06 21:30:00,
2025-03-06 22:00:00,
2025-03-06 22:30:00,
2025-03-06 23:00:00,
2025-03-06 23:30:00,
2025-03-07 00:00:00,
2025-03-07 00:30:00,
2025-03-07 01:00:00,
2025-03-07 01:30:00,
2025-03-07 02:00:00,
2025-03-07 02:30:00,
2025-03-07 03:00:00,
2025-03-07 03:30:00,
2025-03-07 04:00:00,
2025-03-07 04:30:00,
2025-03-07 05:00:00,
2025-03-07 05:30:00,
2025-03-07 06:00:00,
2025-03-07 06:30:00,
2025-03-07 07:00:00,
2025-03-07 07:30:00,
2025-03-07 08:00:00,
2025-03-07 08:30:00,
2025-03-07 09:00:00,
2025-03-07 09:30:00,
2025-03-07 10:00:00,
2025-03-07 10:30:00,
2025-03-07 11:00:00,
2025-03-07 11:30:00,
2025-03-07 12:00:00,
2025-03-07 12:30:00,
2025-03-07 13:00:00,
2025-03-07 13:30:00,
2025-03-07 14:00:00,
2025-03-07 14:30:00,
2025-03-07 15:00:00,
2025-03-07 15:30:00,
2025-03-07 16:00:00,
2025-03-07 16:30:00,
2025-03-07 17:00:00,
2025-03-07 17:30:00,
2025-03-07 18:00:00,
2025-03-07 18:30:00,
2025-03-07 19:00:00,
2025-03-07 19:30:00,
2025-03-07 20:00:00,
2025-03-07 20:30:00,
